participant,age:1,gender:1,gender:other,education:1,bfi:1,bfi:2,bfi:3,bfi:4,bfi:5,bfi:6,bfi:7,bfi:8,bfi:9,bfi:10,bfi:11,bfi:12,bfi:13,bfi:14,bfi:15,openness:1,conscientiousness:1,extroversion:1,agreeableness:1,neuroticism:1,feedback:1,SART:1,TIME_start,TIME_end,TIME_total
s.27ccadf9-e714-4d77-9a3a-2d6c9d2f334c.txt,24,2,,4,3,4,5,2,6,3,5,5,6,7,6,6,5,1,5,5.33,3.67,3.67,6.33,4,1,sart_psych.2021-10-27-1105.data.27ccadf9-e714-4d77-9a3a-2d6c9d2f334c.txt,2021-10-27-10-54,2021-10-27-11-05,11
s.fe0d800a-b557-42c1-950a-fa787ead835b.txt,21,2,,4,7,4,4,6,4,2,6,7,6,2,5,6,5,1,4,6.33,3.33,4,4.33,5,1,sart_psych.2021-10-27-1105.data.fe0d800a-b557-42c1-950a-fa787ead835b.txt,2021-10-27-10-55,2021-10-27-11-05,10
s.3c16804a-79f8-4bcc-9956-cdf237d35c01.txt,21,1,,4,3,4,3,3,5,2,4,5,6,6,5,5,5,5,5,5,5,3.33,5.33,3.33,1,,2021-10-27-10-54,,
s.8f7a75fa-91d7-41c3-968f-b28f5eff2993.txt,22,1,,3,3,3,5,3,3,5,3,3,3,5,3,3,3,5,3,3,3.67,3.67,3.67,3.67,1,,2021-10-26-13-16,,
s.a52d5052-693b-4409-98ce-71223cae48b3.txt,18,2,,4,3,6,2,7,7,5,6,5,6,7,6,6,4,1,6,5.67,3.67,6.33,6.33,3.67,1,sart_psych.2021-10-27-1152.data.a52d5052-693b-4409-98ce-71223cae48b3.txt,2021-10-27-11-41,2021-10-27-11-52,11
s.5abb9c19-4c0c-4ded-86a6-70c99f42b3fa.txt,24,2,,4,2,2,2,6,6,2,4,6,6,3,7,6,2,2,2,5.33,2,4.67,5.33,2,1,sart_psych.2021-10-27-1138.data.5abb9c19-4c0c-4ded-86a6-70c99f42b3fa.txt,2021-10-27-11-25,2021-10-27-11-38,13
s.3cad5b69-fbe1-4bd9-b077-fe0f72d6d36a.txt,22,2,,4,5,2,2,2,4,1,6,7,5,3,3,5,6,3,6,6,5,2.33,3.67,3,1,sart_psych.2021-10-27-1105.data.3cad5b69-fbe1-4bd9-b077-fe0f72d6d36a.txt,2021-10-27-10-55,2021-10-27-11-05,10
s.f2896dfc-586b-4fa5-9c4e-62576b7de3fd.txt,21,1,,4,2,2,3,3,4,3,5,5,5,6,5,5,5,5,5,5,5,3.33,5.33,2.33,1,,2021-10-27-11-03,,
s.a2d1576d-b269-4992-8d42-79b7c794e787.txt,24,1,,4,3,3,2,7,6,5,3,6,5,6,6,6,4,1,4,4.67,3,6,6,2.67,1,sart_psych.2021-10-27-1116.data.a2d1576d-b269-4992-8d42-79b7c794e787.txt,2021-10-27-11-09,2021-10-27-11-16,7
s.4d6c2594-f891-466e-b117-ad9ea485c726.txt,24,1,,4,3,3,2,7,6,5,4,6,3,6,6,6,4,1,4,4.33,3,6,6,2.67,1,,2021-10-27-11-05,,
s.07afd402-15af-4a90-8d8c-23f1c5acd1a4.txt,24,1,,4,3,3,2,7,6,5,4,5,5,6,6,6,5,1,5,4.67,3.67,6,6,2.67,1,,2021-10-27-10-54,,
